Packet,State,CWND,SSTHRESH
1,slow_start,2,16
2,slow_start,3,16
3,slow_start,4,16
5,congestion_avoidance,2,2.0
6,congestion_avoidance,2.5,2.0
7,congestion_avoidance,2.9,2.0
8,congestion_avoidance,3.24,2.0
9,congestion_avoidance,3.55,2.0
10,congestion_avoidance,3.83,2.0
12,congestion_avoidance,2,2
13,congestion_avoidance,2.5,2
14,congestion_avoidance,2.9,2
15,congestion_avoidance,3.24,2
16,congestion_avoidance,3.55,2
17,congestion_avoidance,3.83,2
18,congestion_avoidance,4.1,2
19,congestion_avoidance,4.34,2
20,congestion_avoidance,4.57,2
22,congestion_avoidance,2.28,2.28
24,fast_recovery,6,2
25,fast_recovery,7,2
26,fast_recovery,8,2
27,fast_recovery,9,2
28,fast_recovery,10,2
30,fast_recovery,9.0,5.0
31,fast_recovery,10.0,5.0
32,fast_recovery,11.0,5.0
34,slow_start,2,5.5
35,slow_start,3,5.5
36,slow_start,4,5.5
37,slow_start,5,5.5
38,congestion_avoidance,6,5.5
39,congestion_avoidance,6.17,5.5
40,congestion_avoidance,6.33,5.5
41,congestion_avoidance,6.49,5.5
42,congestion_avoidance,6.64,5.5
43,congestion_avoidance,6.79,5.5
44,congestion_avoidance,6.94,5.5
45,congestion_avoidance,7.08,5.5
46,congestion_avoidance,7.22,5.5
48,congestion_avoidance,3.61,3.61
49,congestion_avoidance,3.89,3.61
50,congestion_avoidance,4.15,3.61
